Bioreplicate	Group	Sex	ID
D13_m_d3_PNG	PNG	M	D13
D14_f_d3_PNG	PNG	F	D14
D18_f_d3_PNG	PNG	F	D18
D19_f_d3_PNG	PNG	F	D19
D20_f_d3_PNG	PNG	F	D20
D21_m_d3_PNG	PNG	M	D21
D22_f_d3_PNG	PNG	F	D22
D23_m_d3_PNG	PNG	M	D23
D28_f_d3_PNG	PNG	F	D28
D29_m_d3_PNG	PNG	M	D29
D1_f_d3_PHG	PHG	F	D1
D32_f_d3_PHG	PHG	F	D32
D36_f_d3_PHG	PHG	F	D36
D37_f_d3_PHG	PHG	F	D37
D38_m_d3_PHG	PHG	M	D38
D42_m_d3_PHG	PHG	M	D42
D44_m_d3_PHG	PHG	M	D44
D45_m_d3_PHG	PHG	M	D45
D5_f_d3_PHG	PHG	F	D5
